日期,時段,進站,人次,lat,lon,id,氣溫(℃),相對溼度(%),降水量(mm)
2017-01-01,1,南港,151,25.052116,121.606686,C0A9G0,21.0,71,0.0
2017-01-01,2,南港,3,25.052116,121.606686,C0A9G0,21.0,71,0.0
2017-01-01,7,南港,97,25.052116,121.606686,C0A9G0,20.2,76,0.0
2017-01-01,8,南港,181,25.052116,121.606686,C0A9G0,21.0,72,0.0
2017-01-01,9,南港,274,25.052116,121.606686,C0A9G0,22.7,66,0.0
2017-01-01,10,南港,431,25.052116,121.606686,C0A9G0,24.0,62,0.0
2017-01-01,11,南港,597,25.052116,121.606686,C0A9G0,25.1,58,0.0
2017-01-01,12,南港,791,25.052116,121.606686,C0A9G0,25.6,55,0.0
2017-01-01,13,南港,748,25.052116,121.606686,C0A9G0,25.8,54,0.0
2017-01-01,14,南港,819,25.052116,121.606686,C0A9G0,26.5,53,0.0
2017-01-01,15,南港,955,25.052116,121.606686,C0A9G0,25.4,56,0.0
2017-01-01,16,南港,1026,25.052116,121.606686,C0A9G0,24.9,60,0.0
2017-01-01,17,南港,1019,25.052116,121.606686,C0A9G0,24.0,63,0.0
2017-01-01,18,南港,1092,25.052116,121.606686,C0A9G0,23.0,65,0.0
2017-01-01,19,南港,981,25.052116,121.606686,C0A9G0,22.5,68,0.0
2017-01-01,20,南港,903,25.052116,121.606686,C0A9G0,22.4,69,0.0
2017-01-01,21,南港,864,25.052116,121.606686,C0A9G0,22.2,68,0.0
2017-01-01,22,南港,876,25.052116,121.606686,C0A9G0,22.1,66,0.0
2017-01-01,23,南港,873,25.052116,121.606686,C0A9G0,22.4,62,0.0
2017-01-01,24,南港,371,25.052116,121.606686,C0A9G0,21.2,67,0.0
2017-01-02,1,南港,108,25.052116,121.606686,C0A9G0,19.8,75,0.0
2017-01-02,2,南港,1,25.052116,121.606686,C0A9G0,20.4,72,0.0
2017-01-02,6,南港,0,25.052116,121.606686,C0A9G0,18.4,85,0.0
2017-01-02,7,南港,80,25.052116,121.606686,C0A9G0,18.0,88,0.0
2017-01-02,8,南港,158,25.052116,121.606686,C0A9G0,18.8,83,0.0
2017-01-02,9,南港,275,25.052116,121.606686,C0A9G0,21.0,73,0.0
2017-01-02,10,南港,403,25.052116,121.606686,C0A9G0,21.7,68,0.0
2017-01-02,11,南港,632,25.052116,121.606686,C0A9G0,23.7,61,0.0
2017-01-02,12,南港,801,25.052116,121.606686,C0A9G0,24.9,55,0.0
2017-01-02,13,南港,758,25.052116,121.606686,C0A9G0,25.7,56,0.0
2017-01-02,14,南港,828,25.052116,121.606686,C0A9G0,25.1,59,0.0
2017-01-02,15,南港,1042,25.052116,121.606686,C0A9G0,24.5,65,0.0
2017-01-02,16,南港,1033,25.052116,121.606686,C0A9G0,23.6,71,0.0
2017-01-02,17,南港,1056,25.052116,121.606686,C0A9G0,22.7,75,0.0
2017-01-02,18,南港,1060,25.052116,121.606686,C0A9G0,22.2,79,0.0
2017-01-02,19,南港,1066,25.052116,121.606686,C0A9G0,21.6,83,0.0
2017-01-02,20,南港,954,25.052116,121.606686,C0A9G0,20.9,87,0.0
2017-01-02,21,南港,864,25.052116,121.606686,C0A9G0,20.5,90,0.0
2017-01-02,22,南港,842,25.052116,121.606686,C0A9G0,20.5,87,0.0
2017-01-02,23,南港,719,25.052116,121.606686,C0A9G0,20.4,85,0.0
2017-01-02,24,南港,370,25.052116,121.606686,C0A9G0,20.4,84,0.0
2017-01-03,1,南港,103,25.052116,121.606686,C0A9G0,20.4,85,0.0
2017-01-03,2,南港,2,25.052116,121.606686,C0A9G0,20.2,87,0.0
2017-01-03,6,南港,0,25.052116,121.606686,C0A9G0,20.0,93,0.0
2017-01-03,7,南港,222,25.052116,121.606686,C0A9G0,20.1,95,0.5
2017-01-03,8,南港,1050,25.052116,121.606686,C0A9G0,20.4,94,0.5
2017-01-03,9,南港,2304,25.052116,121.606686,C0A9G0,20.6,91,1.0
2017-01-03,10,南港,1109,25.052116,121.606686,C0A9G0,20.6,91,0.0
2017-01-03,11,南港,598,25.052116,121.606686,C0A9G0,20.7,90,0.0
2017-01-03,12,南港,465,25.052116,121.606686,C0A9G0,20.5,92,0.0
2017-01-03,13,南港,493,25.052116,121.606686,C0A9G0,20.9,90,0.0
2017-01-03,14,南港,576,25.052116,121.606686,C0A9G0,20.7,89,0.0
2017-01-03,15,南港,472,25.052116,121.606686,C0A9G0,20.1,93,0.5
2017-01-03,16,南港,461,25.052116,121.606686,C0A9G0,19.9,94,0.5
2017-01-03,17,南港,913,25.052116,121.606686,C0A9G0,19.9,94,0.5
2017-01-03,18,南港,1383,25.052116,121.606686,C0A9G0,19.9,94,0.0
2017-01-03,19,南港,2002,25.052116,121.606686,C0A9G0,20.1,93,0.0
2017-01-03,20,南港,1440,25.052116,121.606686,C0A9G0,20.1,92,0.0
2017-01-03,21,南港,818,25.052116,121.606686,C0A9G0,20.2,92,0.0
2017-01-03,22,南港,658,25.052116,121.606686,C0A9G0,20.4,92,0.0
2017-01-03,23,南港,510,25.052116,121.606686,C0A9G0,20.3,94,0.0
2017-01-03,24,南港,186,25.052116,121.606686,C0A9G0,20.5,93,0.0
2017-01-04,1,南港,70,25.052116,121.606686,C0A9G0,20.7,93,0.0
2017-01-04,2,南港,1,25.052116,121.606686,C0A9G0,20.8,93,0.0
2017-01-04,6,南港,0,25.052116,121.606686,C0A9G0,20.7,91,0.0
2017-01-04,7,南港,215,25.052116,121.606686,C0A9G0,20.6,92,0.0
2017-01-04,8,南港,1113,25.052116,121.606686,C0A9G0,21.0,91,0.0
2017-01-04,9,南港,2119,25.052116,121.606686,C0A9G0,22.6,85,0.0
2017-01-04,10,南港,1005,25.052116,121.606686,C0A9G0,24.1,76,0.0
2017-01-04,11,南港,569,25.052116,121.606686,C0A9G0,24.4,74,0.0
2017-01-04,12,南港,479,25.052116,121.606686,C0A9G0,24.9,68,0.0
2017-01-04,13,南港,497,25.052116,121.606686,C0A9G0,26.1,61,0.0
2017-01-04,14,南港,501,25.052116,121.606686,C0A9G0,26.3,59,0.0
2017-01-04,15,南港,450,25.052116,121.606686,C0A9G0,26.8,57,0.0
2017-01-04,16,南港,453,25.052116,121.606686,C0A9G0,26.1,59,0.0
2017-01-04,17,南港,882,25.052116,121.606686,C0A9G0,25.0,63,0.0
2017-01-04,18,南港,1306,25.052116,121.606686,C0A9G0,23.7,69,0.0
2017-01-04,19,南港,2040,25.052116,121.606686,C0A9G0,23.1,70,0.0
2017-01-04,20,南港,1424,25.052116,121.606686,C0A9G0,22.8,73,0.0
2017-01-04,21,南港,816,25.052116,121.606686,C0A9G0,22.7,75,0.0
2017-01-04,22,南港,713,25.052116,121.606686,C0A9G0,22.8,75,0.0
2017-01-04,23,南港,507,25.052116,121.606686,C0A9G0,22.7,76,0.0
